cod_ibge,Municipio,nome_microrregiao,idx_gobernanza,idx_vulnerabilidad,idx_riesgo_total,idx_riesgo_salud,idx_riesgo_clima,idx_riesgo_nutricion
352830,Magda,Auriflama,0.246,16.829258585031877,43.31128344923257,30.0,29.87012987012987,96.8161575059031
354200,Quintana,Tupã,0.346,16.427553600650864,43.28923026898474,37.5,22.07792207792208,97.29030718907951
351650,Gabriel Monteiro,Birigui,0.2799999999999999,17.373797574163838,43.14369739191062,27.5,31.16883116883117,98.38082462189075
353370,Ocauçu,Marília,0.24,24.0210999409927,43.12619535946929,27.5,33.116883116883116,94.39721056358022
351730,Guaimbê,Lins,0.04,22.23909019685408,43.05065986921721,37.5,23.376623376623375,93.50005259283934
353890,Pirajuí,Bauru,0.286,17.445708250248344,43.00055154510325,35.0,25.324675324675326,94.35340707616557
351495,Embaúba,Catanduva,0.32,23.141840218598,42.888942521054005,32.5,27.27272727272727,94.89925805981547
354210,Rafard,Piracicaba,0.3359999999999999,18.43102946287445,42.836767449153925,30.0,29.22077922077922,95.74227880421117
353205,Motuca,Araraquara,0.076,31.6808365500966,42.82753193220732,35.0,24.675324675324674,94.78701031038726
354310,Ribeirão Corrente,Franca,0.3139999999999999,33.08553241505936,42.819883287081076,27.5,33.116883116883116,92.86565020163914
352490,Jambeiro,Paraibuna/Paraitinga,0.18,22.063726212928596,42.694498255854484,40.0,24.025974025974026,85.42054322732436
350075,Alambari,Itapetininga,0.156,19.337338241652134,42.693185992710625,27.5,35.064935064935064,88.336059833683
354025,Pontalinda,Jales,0.3399999999999999,28.23141006177232,42.665457703289036,35.0,23.376623376623375,96.57404176319842
352585,Jumirim,Piracicaba,0.2799999999999999,32.36503599558507,42.66528907048878,35.0,23.376623376623375,96.57319859919717
354840,Santópolis do Aguapeí,Birigui,0.076,20.59064571325001,42.65664137007292,32.5,25.324675324675326,97.63385620101394
351885,Guatapará,Ribeirão Preto,0.32,22.55265730364981,42.62803795637636,37.5,20.77922077922078,96.58174822344024
353750,Pereiras,Tatuí,0.29,19.6665006089792,42.53717550507702,27.5,29.87012987012987,97.94561778512538
352660,Lavrinhas,Guaratinguetá,0.246,16.461770107905068,42.4690138778813,35.0,41.55844155844156,59.22818627252339
353320,Nova Independência,Andradina,0.246,27.60868027351248,42.44257989853992,37.5,19.48051948051948,98.25186053166063
352870,Marabá Paulista,Presidente Prudente,0.156,39.30875867395622,42.34362566696312,32.5,24.025974025974026,98.66618028286754
353625,Parisi,Votuporanga,0.116,23.66264870714341,42.32922534679955,32.5,24.675324675324674,97.29547738334838
352630,Lagoinha,Paraibuna/Paraitinga,0.2299999999999999,25.955307931852435,42.30371250168026,27.5,33.76623376623377,88.98609497593377
350820,Buritizal,Ituverava,0.196,18.360464742545545,42.26447688215488,25.0,33.76623376623377,93.78991687830685
355570,União Paulista,Nhandeara,0.2299999999999999,38.0047871436629,42.18769640004824,27.5,29.87012987012987,96.19822225998143
353970,Platina,Assis,0.24,25.55230531974739,42.08241909091882,35.0,22.727272727272727,94.95755000004863
355520,Turiúba,Birigui,0.206,32.53295544972618,42.07405390298527,25.0,31.818181818181817,96.7339058785627
351590,Floreal,Auriflama,0.24,21.170039224418037,42.06380029789865,30.0,26.623376623376622,97.07224824274
350300,Aramina,Ituverava,0.2299999999999999,24.482249807337205,42.033038404094256,30.0,26.623376623376622,96.91843877371802
353690,Pedranópolis,Fernandópolis,0.256,26.429150987599137,41.89572851210177,40.0,16.883116883116884,95.71240879427506
350470,Balbinos,Bauru,0.116,29.30552318593817,41.8436174024495,15.0,40.259740259740255,98.698606492767
351470,Echaporã,Marília,0.2299999999999999,17.05325943058836,41.833785024957365,32.5,25.324675324675326,93.51957447543614
351920,Iacri,Tupã,0.2799999999999999,16.30997553403532,41.812123638379575,30.0,25.324675324675326,98.4112675425472
350120,Álvares Florence,Votuporanga,0.156,24.27267292741829,41.667644669908526,27.5,28.57142857142857,96.19536620668546
355080,São Sebastião da Grama,São João da Boa Vista,0.2699999999999999,19.96314594989106,41.437772701193246,25.0,35.064935064935064,87.0589933760961
350020,Adolfo,São José do Rio Preto,0.2699999999999999,16.38506117253787,41.41238134160074,35.0,20.77922077922078,95.50346514956213
351420,Dolcinópolis,Jales,0.3299999999999999,27.231812434740903,41.340088445174544,22.5,32.467532467532465,96.76537729080775
351710,Glicério,Birigui,0.18,22.70236664133477,41.283289817522856,35.0,19.48051948051948,97.45541012657533
350340,Arealva,Bauru,0.196,17.431658863002276,41.244122950570265,22.5,33.76623376623377,93.6881472203838
350775,Brejo Alegre,Birigui,0.13,26.785595483196296,41.234187402002846,27.5,26.623376623376622,97.92418376326097
352360,Itirapina,Rio Claro,0.21,16.469314600722385,41.14224681684885,27.5,35.714285714285715,79.28266265567284
354250,Reginópolis,Bauru,0.3299999999999999,24.59834522482028,41.14044437004154,25.0,30.519480519480517,94.66326081124666
350890,Caiabu,Presidente Prudente,0.206,20.201495686151237,41.079199884474804,27.5,26.623376623376622,97.14924617562075
354030,Pontes Gestal,Votuporanga,0.176,22.038705370678308,40.9941622246474,30.0,24.025974025974026,96.91886307128892
352060,Indiana,Presidente Prudente,0.18,20.591770706434637,40.98352909700667,22.5,31.818181818181817,96.2812818486697
352370,Itirapuã,Franca,0.106,25.72856041708943,40.728322051657045,25.0,31.818181818181817,90.00524662192157
353220,Narandiba,Presidente Prudente,0.3119999999999999,20.961431875023447,40.532413267872485,30.0,24.025974025974026,94.61011828741435
