cod_ibge,year,diarrhea,population,incidence_diarrhea
350420,2010,62.0,14112.45,439.3283944318669
350420,2011,44.0,14255.0,308.6636267976149
350420,2012,57.0,14307.0,398.40637450199205
350420,2013,19.0,14831.0,128.11003978153866
350420,2014,27.0,14897.0,181.24454588172114
350420,2015,15.0,14961.0,100.26067776218166
350420,2016,28.0,15024.0,186.3684771033014
350420,2017,25.0,15085.0,165.72754391779915
350420,2018,9.0,15123.0,59.51200158698671
350420,2019,17.0,15189.0,111.92310224504575
350430,2010,0.0,4937.13,0.0
350430,2011,2.0,4987.0,40.104271104872666
350430,2012,1.0,5014.0,19.94415636218588
350430,2013,1.0,5210.0,19.193857965451055
350430,2014,2.0,5243.0,38.14609956131986
350430,2015,4.0,5275.0,75.82938388625593
350430,2016,3.0,5306.0,56.539766302299284
350430,2017,3.0,5337.0,56.21135469364812
350430,2018,3.0,5369.0,55.876327062767736
350430,2019,0.0,5403.0,0.0
350440,2010,16.0,11385.99,140.52357326855196
350440,2011,13.0,11501.0,113.03364924789149
350440,2012,17.0,11685.0,145.48566538296961
350440,2013,5.0,12307.0,40.62728528479727
350440,2014,10.0,12516.0,79.89773090444231
350440,2015,9.0,12719.0,70.76027989621825
350440,2016,8.0,12918.0,61.929091190586774
350440,2017,8.0,13112.0,61.01281269066504
350440,2018,9.0,13433.0,66.99918112111963
350440,2019,5.0,13649.0,36.632720345812885
350450,2010,178.0,82595.7,215.507586956706
350450,2011,178.0,83430.0,213.3525110871389
350450,2012,154.0,83910.0,183.5299725896794
350450,2013,156.0,87238.0,178.82115591829248
350450,2014,140.0,87820.0,159.41698929628785
350450,2015,143.0,88385.0,161.79215930304915
350450,2016,85.0,88938.0,95.57219636151027
350450,2017,109.0,89479.0,121.81629209088165
350450,2018,70.0,90063.0,77.72337141778533
350450,2019,97.0,90655.0,106.99906237935028
350460,2010,0.0,14689.62,0.0
350460,2011,1.0,14838.0,6.739452756436177
350460,2012,0.0,15065.0,0.0
350460,2013,2.0,15851.0,12.617500473156268
350460,2014,6.0,16109.0,37.24625985473959
350460,2015,4.0,16359.0,24.451372333272204
350460,2016,1.0,16604.0,6.022645145748013
350460,2017,4.0,16843.0,23.74873834827525
350460,2018,7.0,17236.0,40.61267115339986
350460,2019,4.0,17502.0,22.854530910753056
350470,2010,4.0,3847.14,103.97334123530726
350470,2011,1.0,3886.0,25.73340195573855
350470,2012,2.0,4063.0,49.22471080482402
350470,2013,4.0,4433.0,90.23234829686443
350470,2014,0.0,4629.0,0.0
350470,2015,2.0,4819.0,41.50238638721727
350470,2016,0.0,5006.0,0.0
350470,2017,2.0,5188.0,38.55050115651503
350470,2018,0.0,5532.0,0.0
350470,2019,1.0,5735.0,17.436791630340018
350480,2010,3.0,8140.769999999999,36.85155089751953
350480,2011,0.0,8223.0,0.0
350480,2012,0.0,8284.0,0.0
350480,2013,4.0,8631.0,46.34457189201715
350480,2014,2.0,8703.0,22.98058140870964
350480,2015,3.0,8773.0,34.19582810897071
350480,2016,5.0,8841.0,56.554688383667006
350480,2017,2.0,8908.0,22.451728783116298
350480,2018,1.0,8994.0,11.1185234600845
350480,2019,3.0,9068.0,33.08337009263344
350490,2010,2.0,10160.37,19.684322519750754
350490,2011,0.0,10263.0,0.0
350490,2012,0.0,10301.0,0.0
350490,2013,0.0,10680.0,0.0
350490,2014,0.0,10728.0,0.0
350490,2015,0.0,10775.0,0.0
350490,2016,0.0,10821.0,0.0
350490,2017,1.0,10867.0,9.202171712524155
350490,2018,2.0,10896.0,18.355359765051393
350490,2019,1.0,10945.0,9.136592051164916
350500,2010,7.0,3109.59,225.11006274139032
350500,2011,0.0,3141.0,0.0
350500,2012,2.0,3165.0,63.1911532385466
350500,2013,3.0,3297.0,90.99181073703367
350500,2014,1.0,3326.0,30.066145520144318
350500,2015,4.0,3353.0,119.29615269907546
350500,2016,0.0,3380.0,0.0
350500,2017,2.0,3406.0,58.71990604815032
350500,2018,4.0,3441.0,116.24527753560012
350500,2019,5.0,3469.0,144.13375612568464
350510,2010,5.0,6585.48,75.92460989935434
350510,2011,6.0,6652.0,90.19843656043295
350510,2012,1.0,6708.0,14.90757304710793
350510,2013,1.0,6998.0,14.289797084881394
350510,2014,1.0,7064.0,14.156285390713478
350510,2015,2.0,7128.0,28.058361391694728
350510,2016,2.0,7190.0,27.81641168289291
350510,2017,2.0,7251.0,27.582402427251417
350510,2018,3.0,7335.0,40.899795501022496
350510,2019,1.0,7402.0,13.509862199405566
350520,2010,134.0,31533.48,424.94516938821846
350520,2011,105.0,31852.0,329.64962953660677
350520,2012,99.0,32102.0,308.3920004984113
350520,2013,63.0,33466.0,188.25076196736987
350520,2014,53.0,33761.0,156.98587127158558
350520,2015,60.0,34048.0,176.22180451127818
350520,2016,49.0,34328.0,142.74061990212073
350520,2017,25.0,34602.0,72.25015895034969
350520,2018,26.0,34961.0,74.3685821343783
350520,2019,18.0,35264.0,51.04355716878403
350530,2010,79.0,34875.72,226.51862097757407
350530,2011,74.0,35228.0,210.0601794027478
350530,2012,72.0,35210.0,204.4873615450156
350530,2013,52.0,36310.0,143.21123657394656
350530,2014,64.0,36315.0,176.23571526917252
350530,2015,60.0,36321.0,165.19368960105726
350530,2016,76.0,36326.0,209.2165391179871
350530,2017,59.0,36331.0,162.39575018579174
350530,2018,33.0,36127.0,91.34442383812662
350530,2019,26.0,36126.0,71.97032608093893
350535,2010,5.0,5222.25,95.74417157355545
350535,2011,1.0,5275.0,18.95734597156398
350535,2012,3.0,5305.0,56.550424128180964
350535,2013,1.0,5514.0,18.135654697134566
350535,2014,1.0,5550.0,18.01801801801802
350535,2015,3.0,5585.0,53.71530886302597
350535,2016,1.0,5619.0,17.79676098949991
350535,2017,1.0,5653.0,17.68972227136034
350535,2018,2.0,5688.0,35.16174402250352
350535,2019,2.0,5724.0,34.940600978336825
