cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
354050,2,0,0,1,17,29,1,0,0,0
354060,52,268,21,29,130,765,64,0,443,38
354070,426,68,18,138,839,4505,243,34,32,248
354075,2,465,1735,52,131,1030,27,12,13,2859
354080,84,10,1,83,40,175,193,9,11,718
354085,1,0,0,13,0,30,1,1,0,93
354090,51,153,1,55,12,77,97,3,0,258
354100,8297,164,305,9125,374,3441,720,174,68,2171
354120,14,31,2,36,13,114,57,1,0,75
354130,250,52,256,759,64,280,772,5,23,896
354140,381,208,264,3791,236,3562,13034,17,41,7602
354150,33,5,74,425,21,587,196,6,5,657
354160,166,39,13,57,496,422,26,0,3,956
354170,58,5,1,44,11,338,87,1,1,433
354180,1,1,0,8,7,58,0,0,0,178
354190,2,9,4,447,10,362,59,1,0,12
354200,7,4,0,6,5,175,9,0,1,65
354210,15,0,0,3,11,209,138,0,0,74
354220,35,62,4,172,79,425,360,5,4,629
354230,4,3,2,4,40,13,5,3,4,11
354240,49,12,2,105,9,119,331,8,6,114
354250,4,1,1,6,1,20,4,0,0,111
354260,845,34,3,2433,22,344,235,8,1,213
354270,5,9,1,18,5,91,14,2,6,109
354290,10,1,5,15,229,451,56,0,2,282
354310,6,2,1,20,52,18,19,0,0,62
354320,5,0,0,41,4,123,3,0,3,42
354330,17,2,4,12,16,88,59,9,3,26
354340,29980,25312,366,13758,438,5643,35425,270,269,14409
354360,37,3,0,87,48,135,25,8,77,17
354370,664,11,4,146,3,157,6,2,18,595
354380,55,2,7,70,11,367,19,1,9,487
354390,424,1771,221,1114,693,21630,105,17,28,1407
354400,6,74,18,106,15,436,104,3,1,61
354410,2,2,2,5,16,56,14,2,1,55
354420,56,63,2,100,38,190,21,10,8,411
354425,13,7,25,149,760,577,40,0,5,1062
354430,3,12,63,21,29,294,12,3,7,34
354440,12,4,2,13,7,137,5,0,16,87
354450,65,20,3,49,137,60,14,6,8,161
354460,6,1,0,1,1,125,2,0,2,11
354470,71,0,0,56,3,49,6,0,0,166
354480,51,2,11,22,20,395,14,9,3,378
354490,19,173,4,345,90,28,204,22,5,180
354500,2,0,0,4,5,22,7,1,1,5
354510,18,3,0,39,20,95,2,0,1,198
354515,8,3,59,15,11,94,57,0,1,47
354520,62,106,143,125,155,1504,279,11,17,225
354530,21,2,2,121,10,1983,52,0,7,25
354540,4,5,0,18,8,102,12,0,0,83
354560,39,2,0,106,10,365,12,6,6,266
354570,93,10,5,66,7,276,8,1,1,210
354580,1223,797,74,532,3342,4766,476,44,26,3993
354600,6,23,4,12,31,232,103,17,12,66
354610,3,25,0,16,5,77,47,0,3,33
354620,4,6,0,36,22,31,5,0,2,60
354630,634,33,1,25,46,912,40,19,10,98
354640,11,164,1,36,59,758,56,3,19,808
354650,26,1,3,34,2,196,59,3,4,162
354660,563,952,26,534,88,538,804,5,20,1260
354670,13,23,12,730,60,500,6,1,0,66
354680,16,4,15,8,56,397,127,26,26,40
354690,3,14,40,6,23,122,39,5,8,223
354710,3,3,0,4,2,122,13,1,3,27
354720,20,9,0,3,5,54,3,0,2,33
354730,75,400,12,72,430,1732,353,35,7,102
354740,11,18,0,41,3,181,13,1,0,157
354750,34,48,2,37,67,829,100,12,19,77
