"cod_ibge","deng_2010","deng_2011","deng_2012","deng_2013","deng_2014","deng_2015","deng_2016","deng_2017","deng_2018","deng_2019","leiv_2010","leiv_2011","leiv_2012","leiv_2013","leiv_2014","leiv_2015","leiv_2016","leiv_2017","leiv_2018","leiv_2019","lept_2010","lept_2011","lept_2012","lept_2013","lept_2014","lept_2015","lept_2016","lept_2017","lept_2018","lept_2019","ltan_2010","ltan_2011","ltan_2012","ltan_2013","ltan_2014","ltan_2015","ltan_2016","ltan_2017","ltan_2018","ltan_2019","mala_2010","mala_2011","mala_2012","mala_2013","mala_2014","mala_2015","mala_2016","mala_2017","mala_2018","mala_2019"
"350960",17,15,14,127,1107,1024,25,7,15,200,0,0,1,0,0,0,0,0,2,0,11,16,4,5,4,2,5,1,9,7,2,1,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
"350970",3,4,5,2,9,11,30,7,0,12,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,5,2,3,9,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"350980",8,3,0,5,4,32,4,0,0,182,0,1,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"350990",2,1,1,240,20,186,31,2,2,62,0,0,0,1,0,0,0,0,0,0,1,2,0,4,7,3,0,2,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"351000",59,48,5,84,114,4341,52,10,3,238,0,0,0,0,0,0,0,0,0,0,40,19,19,26,19,7,3,6,12,9,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,0,0,0
"351010",33,22,3,9,0,33,75,1,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"351015",2,1,0,2,12,26,2,1,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351020",4,3,2,3,21,115,12,2,1,12,0,0,0,0,0,0,0,0,0,2,1,1,4,2,8,2,2,5,7,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"351030",2,2,2,13,7,68,46,2,1,41,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,3,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"351040",91,40,13,140,34,1226,312,9,0,337,0,0,0,0,1,1,0,1,1,0,30,5,2,0,7,6,2,2,3,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"351050",3817,1016,186,1742,2596,5735,168,24,31,3466,0,0,0,0,0,0,0,0,0,0,3,9,5,7,3,8,8,7,7,2,0,0,0,0,1,3,3,3,2,1,3,0,5,0,0,3,1,4,9,6
"351060",242,390,61,292,3250,2469,131,17,8,2397,0,1,2,0,0,0,3,0,1,0,38,56,44,60,31,34,23,29,13,43,2,1,1,4,0,0,1,1,0,0,0,2,3,3,2,0,1,1,0,0
"351070",155,75,25,75,87,57,9,8,10,526,0,0,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"351080",51,10,7,75,2202,837,78,16,12,464,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351090",3,5,0,4,1,4,26,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351100",168,26,160,550,47,610,553,24,111,1197,2,1,3,2,2,2,3,1,4,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0
"351110",932,302,52,737,553,10777,133,45,105,3127,0,0,1,0,0,0,0,1,1,0,8,24,18,9,24,14,15,19,18,10,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1
"351120",10,54,1,31,8,251,9,3,1,369,0,0,0,0,2,0,0,1,0,0,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351130",150,116,23,414,8,493,159,10,175,727,0,0,0,0,0,0,0,1,0,0,0,5,2,1,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0
"351140",2,18,0,3,4,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351150",6,4,0,12,1,240,14,0,0,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,1,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351160",3,2,2,4,7,64,19,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351170",44,2,4,41,27,110,11,2,3,28,0,0,0,0,0,0,0,0,0,1,1,2,0,4,1,0,5,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"351190",32,9,2,29,61,45,16,0,3,75,1,0,2,0,0,0,0,0,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
