cod_ibge,inc_hosp_circ_media,inc_hosp_resp_media,inc_hosp_calor_media,inc_hosp_circ_max,inc_hosp_resp_max,inc_hosp_calor_max,inc_obit_circ_media,inc_obit_resp_media,inc_obit_calor_media,inc_obit_circ_max,inc_obit_resp_max,inc_obit_calor_max,total_hosp_circ,total_hosp_resp,total_hosp_calor,total_obit_circ,total_obit_resp,total_obit_calor
353640,690.9277631121502,905.9973598443632,0,1058.5647511685454,1556.970983722576,0,173.06037006188296,66.86937140519183,0,230.7901167526473,107.75862068965517,0,479,624,0,120,46,0
353650,524.0411961213579,654.4815894433485,0,591.3583977208962,792.074934173609,0,107.91109861503791,57.98976346841502,0,120.63167129697324,64.51612903225806,0,5003,6278,0,1038,555,0
353657,786.5376526424728,567.1641637212139,0,979.858464888405,1011.8043844856661,0,208.89208489515863,103.90374494079856,0,449.69083754918495,218.2214948172395,0,143,103,0,38,19,0
353660,976.0171802867161,966.0558582768122,0,1550.7482360238814,1691.7253483896889,0,185.044795208306,120.32347018195836,0,352.4427809145185,168.67198920499268,0,858,849,0,163,106,0
353670,712.6665521722749,787.58427079332,0,1010.7764693167827,1146.3507833397018,0,165.89037072847782,98.86804873275207,0,195.5144051418041,116.9616454076003,0,3147,3460,0,732,438,0
353680,762.903474221118,580.7777341769713,0,1105.2457934675024,1081.7107671825595,0,259.9914427912253,151.28412922941254,0,377.48235680288855,275.5769893213917,0,458,348,0,156,90,0
353690,1207.7423077370606,727.34122654013,0,1475.279106858054,1021.6110019646364,0,200.51069006842988,141.95032880816836,0,277.82738981167273,320.7698476343224,0,307,185,0,51,36,0
353700,504.9603064304396,734.6862601178511,0,685.4966677245319,948.946669197191,0,161.79572948474913,91.0178987711371,0,230.8069588298087,119.93283761093788,0,822,1194,0,264,149,0
353710,503.23273696846013,414.08827164804273,0,599.3578308954691,527.9196532040002,0,187.19106323111842,93.19976601507365,0,208.4293205204151,138.84670456024645,0,2260,1867,0,841,421,0
353715,539.907435309065,345.9769836094428,0,775.9456838021339,553.5656138065776,0,179.50033290860554,65.8303250439661,0,308.48011845636546,101.62601626016261,0,164,105,0,54,20,0
353720,374.35729352088623,256.25570389630826,0,497.602460870352,444.8398576512456,0,180.05466421331676,83.82663135375383,0,243.1197121462608,116.73850574712644,0,405,278,0,195,91,0
353730,725.6511436796253,870.3371510371181,0,809.7165991902834,1028.857476959776,0,247.9954492852269,125.15123642864799,0,275.8223906863409,151.53737107102702,0,4451,5323,0,1519,768,0
353740,553.1405584162186,730.3309511244081,0,639.1270459859704,1177.0647191360422,0,266.95432131794945,81.97775122567731,0,364.4823575029081,113.01636788776305,0,1410,1858,0,681,209,0
353750,776.2774526534561,824.1652316675453,0,1192.2108888594516,1361.4788908318762,0,232.772978887127,82.1928480194319,0,307.7536525675352,135.61829614104303,0,617,660,0,187,67,0
353760,443.01590567349285,336.086810558547,0,755.7532552566652,722.312845732034,0,282.7742698679447,104.52444587200027,0,320.7760611179123,135.43365857475638,0,2809,2114,0,1819,669,0
353770,587.5701502827105,799.5344968552783,0,775.836294757239,1116.4473509921243,0,238.28673368139502,94.39945069617569,0,374.6721618583739,185.74805808848362,0,331,448,0,134,54,0
353780,813.7405944206984,644.9323338829895,0,1235.2288806455313,913.9928869172817,0,210.3772966574625,138.59922357815233,0,245.87028976268965,167.55604931975887,0,4367,3466,0,1138,751,0
353790,820.2756354927058,1094.565837207431,0,1052.8294792254183,1441.893830703013,0,160.9572415339861,59.821155478243426,0,220.97158443531401,78.96221094190638,0,2278,3049,0,452,167,0
353800,630.4171104859405,478.3299977765792,0,666.8160932421831,543.7232932943037,0,167.54630326804988,77.34468043716555,0,202.34848767853364,103.96368993869113,0,9978,7559,0,2671,1234,0
353810,926.721814537646,444.67599426809113,0,1223.7199490294038,538.4897809325664,0,240.64076528824717,112.34848162066965,0,292.6286834635531,134.6224452331416,0,1483,714,0,387,181,0
353820,635.0583080259485,411.5954380452664,0,821.9898730847635,540.8028842820495,0,253.34834653988747,131.19007680689177,0,335.195530726257,199.72039145196726,0,909,587,0,359,188,0
353830,1123.602687621348,981.7431972449607,0,1511.444199191235,1654.0332745866342,0,191.91966610604155,93.60267037077806,0,325.0270855904659,171.1068904744794,0,407,355,0,70,34,0
353850,695.1772979820723,447.06735777903396,0,929.1431139691265,585.7801859852091,0,274.246126732062,134.61683769284787,0,335.1397604107245,219.6675697444534,0,971,625,0,384,188,0
353860,740.2146331566481,839.5657819750884,0,1160.0241285018728,1445.4300649453508,0,252.3764936903,120.22701845964932,0,296.0061569280641,182.55653664170487,0,1940,2191,0,665,317,0
353870,499.87105381443934,498.00637388423434,0.054259387370914534,625.2752745322189,612.4574449331453,0.2722644232078194,131.55100528153815,82.6163125535063,0,147.29505295543032,92.91774703013598,0,19373,19183,2,5076,3184,0
353880,1135.8117262631827,1534.310363668087,0,1241.234221598878,1972.7428563333192,0,267.9606857250912,93.63723932057223,0,347.0894073979628,121.09795479009688,0,3328,4489,0,784,275,0
353890,409.1011387042125,529.9206691209222,0,498.3253182336352,833.482169435018,0,179.69767276583076,183.2707318290254,0,233.72780412728025,217.7441703947108,0,990,1275,0,435,446,0
353900,1068.0434856061872,1637.4796588570503,0,1521.6579536967886,2352.501867064974,0,232.10827603127157,109.73481470103422,0,362.0948511878477,175.17736708417274,0,1181,1809,0,258,122,0
353910,422.57987842531384,435.68893426779925,0,514.8908782400093,556.5978736710445,0,171.44401384965647,77.6345684772577,0,274.9985372418232,101.07327180497911,0,734,751,0,298,134,0
353920,731.4748523614668,597.6171008141046,0,904.8830002511761,990.0961975842464,0,195.455548014627,92.65606322054674,0,245.46620260120903,124.56493863344934,0,1914,1555,0,514,244,0
353930,576.062583152975,507.3777630677148,0,690.6971724584503,617.850205050723,0,199.3891814498076,111.4373068667492,0,265.27818933525236,147.07051434931236,0,4237,3732,0,1468,823,0
353940,771.4959026057747,649.4914057196861,0,847.457627118644,870.1573849878936,0,199.74352556559597,125.17859934348654,0,235.82987720582256,164.10929679166324,0,997,840,0,257,161,0
353950,623.8569705800346,647.132510193377,0,707.1408367404664,796.2857291072262,0,173.54046968956976,64.07098927360666,0,208.66349709455892,94.21370809452775,0,2356,2444,0,655,242,0
353960,953.6306856154067,971.7064082668637,0,1272.6736864667898,1243.3392539964475,0,159.68890802256522,97.62157109931007,0,245.60369387955595,174.55814968361335,0,463,473,0,77,48,0
353970,806.8660743163044,684.1831494725288,0,1098.5915492957747,1224.5551567901584,0,192.39470371433092,64.82430533806281,0,404.10320174075224,145.602795573675,0,273,230,0,65,22,0
