cod_ibge,nome_municipio,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_mean
352115,Ipiguá,4493.61,4539,4613,4858,4941,5022,5101,5178,5306,5392,4944.361
352120,Iporanga,4236.21,4279,4260,4369,4351,4333,4316,4299,4238,4218,4289.921
352130,Ipuã,14179.77,14323,14492,15184,15378,15567,15752,15932,16209,16409,15342.577000000001
352140,Iracemápolis,20169.27,20373,20705,21815,22191,22557,22914,23264,23846,24235,22206.927000000003
352150,Irapuã,7249.7699999999995,7323,7369,7666,7721,7774,7827,7878,7937,7993,7673.777
352160,Irapuru,7736.85,7815,7840,8123,8155,8187,8217,8248,8261,8294,8087.685
352170,Itaberá,17600.22,17778,17699,18158,18086,18015,17946,17879,17635,17556,17835.222
352180,Itaí,23993.64,24236,24457,25535,25792,26042,26287,26526,26861,27125,25685.464
352190,Itajobi,14436.18,14582,14606,15104,15141,15177,15212,15246,15226,15262,14999.217999999999
352200,Itaju,3260.07,3293,3338,3505,3556,3606,3655,3703,3782,3835,3553.307
352210,Itanhaém,87331.86,88214,89332,93696,94977,96222,97439,98629,100496,101816,94815.286
352215,Itaoca,3196.71,3229,3229,3332,3334,3337,3339,3341,3326,3328,3299.171
352220,Itapecerica da Serra,152830.26,154374,156077,163363,165327,167236,169103,170927,173672,175693,164860.226
352230,Itapetininga,144363.78,145822,147219,153810,155436,157016,158561,160070,162231,163901,154842.978
352240,Itapeva,87247.71,88129,88491,91807,92265,92710,93145,93570,93892,94354,91561.071
352250,Itapevi,201674.88,203712,206558,217005,220250,223404,226488,229502,234352,237700,220064.588
352260,Itapira,68244.66,68934,69317,72048,72514,72967,73410,73844,74299,74773,72035.066
352265,Itapirapuã Paulista,3864.96,3904,3926,4081,4109,4135,4161,4186,4213,4241,4082.096
352270,Itápolis,39825.72,40228,40399,41920,42135,42343,42547,42747,42903,43120,41816.772
352280,Itaporanga,14418.36,14564,14579,15064,15090,15115,15140,15165,15125,15149,14940.935999999998
352290,Itapuí,12188.88,12312,12446,13023,13178,13328,13475,13618,13833,13992,13139.388
352300,Itapura,4353.03,4397,4436,4629,4674,4717,4760,4802,4860,4906,4653.403
352310,Itaquaquecetuba,322262.82,325518,329144,344558,348739,352801,356774,360657,366519,370821,347779.38200000004
352320,Itararé,47559.6,48040,48143,49818,49963,50105,50243,50379,50360,50503,49511.36
352330,Itariri,15457.86,15614,15752,16441,16602,16759,16913,17062,17271,17436,16530.786
352340,Itatiba,101997.72,103028,104533,109907,111620,113284,114912,116503,119090,120858,111573.272
352350,Itatinga,18070.47,18253,18446,19297,19520,19738,19951,20158,20467,20697,19459.747
352360,Itirapina,15573.69,15731,15930,16709,16938,17160,17377,17589,17922,18157,16908.669
352370,Itirapuã,5893.47,5953,5990,6232,6277,6321,6363,6405,6453,6499,6238.647
352380,Itobi,7477.47,7553,7559,7807,7819,7831,7842,7853,7830,7841,7741.247
352390,Itu,154033.11,155589,156983,163882,165511,167095,168643,170157,172268,173939,164810.011
352400,Itupeva,45831.06,46294,47682,51082,52627,54128,55596,57031,59649,61252,53117.206000000006
352410,Ituverava,38493.18,38882,39062,40552,40776,40994,41206,41414,41598,41824,40480.118
352420,Jaborandi,6538.95,6605,6618,6846,6864,6882,6900,6917,6911,6929,6801.094999999999
352430,Jaboticabal,71269.11,71989,72305,75041,75436,75820,76196,76563,76864,77263,74874.611
352440,Jacareí,210616.56,212744,214223,223064,224826,226539,228214,229851,231863,233662,223560.256
352450,Jaci,5718.24,5776,5890,6233,6361,6486,6609,6728,6934,7067,6380.224
352460,Jacupiranga,17048.79,17221,17234,17801,17826,17851,17876,17900,17842,17866,17646.579
352470,Jaguariúna,44986.59,45441,46533,49497,50719,51907,53069,54204,56221,57488,51006.558999999994
352480,Jales,46605.24,47076,47137,48724,48825,48922,49017,49110,49011,49107,48353.424
