cod_ibge,ano,n_focos,frp_sum,frp_mean,frp_max,frp_std
351540,2017,1,8.1,8.1,8.1,
351540,2018,2,23.6,11.8,13.3,2.1213203435596424
351540,2019,2,15.3,7.65,10.8,4.45477272147525
351550,2010,13,439.6,33.815384615384616,105.9,28.757168560025924
351550,2011,11,210.7,19.154545454545453,71.0,19.34064960834375
351550,2012,10,352.8,35.28,91.2,29.847717202865315
351550,2013,7,109.2,15.6,23.7,4.979625153228571
351550,2014,1,7.2,7.2,7.2,
351550,2015,12,305.2,25.433333333333334,62.3,19.930348413381736
351550,2016,13,815.8,62.75384615384615,195.4,63.98262284121389
351550,2017,6,482.20000000000005,80.36666666666667,195.4,73.87910845879684
351550,2018,21,1921.2,91.4857142857143,546.9,150.91584504522473
351550,2019,1,7.1,7.1,7.1,
351560,2010,10,637.2,63.720000000000006,356.1,106.45375417418487
351560,2011,8,341.79999999999995,42.724999999999994,90.6,28.243267212862303
351560,2012,1,22.7,22.7,22.7,
351560,2013,1,14.3,14.3,14.3,
351560,2014,4,236.39999999999998,59.099999999999994,182.6,83.67042488239198
351560,2016,5,80.3,16.06,25.2,7.253826576366435
351560,2017,9,1010.3000000000001,112.25555555555556,489.2,155.288176555003
351560,2018,5,237.1,47.42,107.2,34.71378688648071
351560,2019,6,586.3,97.71666666666665,225.9,84.81654123263142
351565,2010,3,119.6,39.86666666666667,72.5,30.131434305942573
351565,2016,1,14.2,14.2,14.2,
351565,2019,1,15.4,15.4,15.4,
351570,2010,1,6.6,6.6,6.6,
351570,2011,1,6.0,6.0,6.0,
351570,2017,1,6.3,6.3,6.3,
351580,2010,2,30.8,15.4,19.6,5.939696961967001
351580,2011,6,586.5,97.75,226.6,92.69215177133391
351580,2012,1,9.0,9.0,9.0,
351580,2014,4,361.0,90.25,142.0,38.562373716703
351580,2017,1,5.8,5.8,5.8,
351580,2018,10,971.8000000000001,97.18,321.3,115.40582307665414
351590,2010,2,44.8,22.4,25.9,4.949747468305833
351590,2011,3,38.4,12.799999999999999,21.7,7.842831121476477
351590,2012,5,491.40000000000003,98.28,278.2,101.77751225098793
351590,2013,2,54.6,27.3,46.1,26.587214972614188
351590,2014,1,13.8,13.8,13.8,
351590,2015,11,394.1,35.82727272727273,81.0,19.362184324558577
351590,2016,8,339.79999999999995,42.474999999999994,100.6,35.15019812990288
351590,2017,1,29.4,29.4,29.4,
351590,2018,17,1595.5,93.8529411764706,398.1,94.5050138725921
351590,2019,1,24.3,24.3,24.3,
351600,2010,12,563.4,46.949999999999996,208.7,53.19963260296925
351600,2011,9,97.2,10.8,23.3,5.3492990194977885
351600,2012,6,101.8,16.966666666666665,34.0,9.757185386507047
351600,2013,8,144.9,18.1125,46.8,12.27662558337126
351600,2014,7,141.2,20.17142857142857,29.1,6.48683648776872
351600,2015,3,55.6,18.533333333333335,25.1,6.867556576638691
351600,2016,8,383.1,47.8875,90.7,36.91590588273376
351600,2017,4,173.5,43.375,81.9,30.8533493589702
351600,2018,9,434.09999999999997,48.23333333333333,137.4,36.80057744112176
351600,2019,2,49.8,24.9,33.0,11.45512985522207
351610,2012,6,228.7,38.11666666666667,73.3,27.796000911402103
351610,2013,5,455.7,91.14,122.6,38.44578000249182
351610,2015,1,14.7,14.7,14.7,
351610,2016,1,114.2,114.2,114.2,
351610,2018,2,95.4,47.7,55.7,11.313708498984761
351610,2019,9,608.6999999999999,67.63333333333333,302.4,95.70133227912764
351620,2010,21,1657.0,78.9047619047619,746.0,182.0311964367385
351620,2011,10,493.3,49.33,163.3,50.80898979948769
351620,2012,6,222.7,37.11666666666667,51.7,15.91947444693658
351620,2013,1,5.2,5.2,5.2,
351620,2014,11,207.5,18.863636363636363,42.4,12.128501368864393
351620,2015,5,77.0,15.4,35.9,11.579939550792137
351620,2016,10,240.2,24.02,80.7,24.839609945049908
351620,2017,15,384.7,25.646666666666665,69.0,16.871229384736047
351620,2018,4,200.6,50.15,87.3,33.445428187820625
351620,2019,4,38.6,9.65,16.1,4.347029637196722
351630,2010,3,37.4,12.466666666666667,19.9,8.565239829294526
351630,2011,1,12.5,12.5,12.5,
351630,2012,2,14.5,7.25,9.1,2.616295090390225
351630,2013,2,30.1,15.05,17.0,2.757716446627535
351630,2014,6,124.4,20.733333333333334,43.1,15.236753810003844
351630,2017,2,49.6,24.8,37.1,17.39482681718907
351630,2018,1,35.9,35.9,35.9,
351630,2019,1,11.3,11.3,11.3,
351640,2010,17,336.7,19.805882352941175,59.8,13.812560886211294
351640,2011,7,230.6,32.94285714285714,76.2,31.276181413489784
351640,2012,8,151.8,18.975,40.9,13.718262072351376
351640,2013,12,415.79999999999995,34.65,95.0,31.630293304764887
351640,2014,18,686.1,38.11666666666667,90.8,24.76570802778808
351640,2015,3,68.9,22.96666666666667,55.9,28.555443147206336
351640,2016,7,132.2,18.885714285714283,55.0,17.699381210598727
351640,2017,8,213.6,26.7,76.1,27.137375386303347
351640,2018,8,179.1,22.3875,53.8,17.89784005324186
351640,2019,9,123.0,13.666666666666666,33.2,9.731777843744688
351650,2013,6,1925.6000000000001,320.93333333333334,505.1,145.43398044015254
351650,2015,2,123.7,61.85,67.0,7.283199846221438
351650,2017,3,43.5,14.5,19.1,6.710439627923048
351650,2018,7,1269.3,181.32857142857142,367.7,123.95052392367037
351650,2019,1,10.7,10.7,10.7,
351660,2010,4,169.8,42.45,80.2,42.44435572998292
351660,2011,6,161.5,26.916666666666668,42.8,12.187767091090421
351660,2014,1,9.0,9.0,9.0,
351660,2015,2,54.2,27.1,28.4,1.8384776310850233
351660,2017,1,15.3,15.3,15.3,
351660,2018,3,61.4,20.466666666666665,27.2,11.317832536900928
351660,2019,4,72.7,18.175,31.6,8.950372431729681
351670,2010,17,886.8,52.16470588235294,298.3,75.55471478650813
351670,2011,17,260.1,15.3,32.0,8.355237878121724
351670,2012,2,22.4,11.2,12.3,1.5556349186104046
351670,2013,1,10.8,10.8,10.8,
351670,2014,2,21.0,10.5,13.0,3.5355339059327378
351670,2015,3,21.2,7.066666666666666,7.2,0.23094010767585058
351670,2016,8,158.5,19.8125,36.6,12.497821238691396
351670,2017,6,70.1,11.683333333333332,21.7,6.27580008179568
