cod_ibge,year,cases_deng,cases_lept,cases_mala,cases_leiv,cases_ltan
350440,2011,5,0,0,0,0
350450,2011,47,2,0,0,0
350460,2011,96,0,0,0,0
350470,2011,7,0,0,0,0
350480,2011,31,0,0,0,0
350490,2011,27,0,0,0,0
350500,2011,1,0,0,0,0
350510,2011,12,0,0,0,0
350520,2011,248,0,0,0,0
350530,2011,75,2,0,0,0
350550,2011,1426,2,0,1,4
350560,2011,208,0,0,0,0
350570,2011,1070,77,0,1,0
350580,2011,72,0,0,1,0
350590,2011,515,1,0,0,0
350600,2011,6666,14,0,57,4
350610,2011,334,2,0,0,1
350620,2011,14,0,0,0,0
350630,2011,16,0,0,0,0
350635,2011,107,12,0,0,0
350640,2011,20,0,0,0,0
350650,2011,585,5,1,21,4
350660,2011,3,1,0,0,0
350670,2011,42,0,0,0,0
350680,2011,42,5,0,0,0
350690,2011,8,3,0,0,0
350700,2011,51,0,1,0,0
350710,2011,5,1,0,0,0
350720,2011,4,0,0,0,0
350730,2011,13,0,0,0,0
350740,2011,266,1,0,0,0
350745,2011,3,0,0,0,0
350750,2011,274,44,7,2,3
350760,2011,111,54,1,1,2
350770,2011,1,0,0,0,0
350775,2011,1,0,0,0,0
350780,2011,334,0,0,0,0
350790,2011,36,0,0,0,0
350800,2011,10,0,0,0,0
350810,2011,44,0,0,0,0
350820,2011,36,0,0,0,0
350830,2011,0,0,0,0,0
350840,2011,10,0,0,0,0
350850,2011,182,3,1,0,0
350860,2011,699,5,0,0,2
350870,2011,17,0,0,0,0
350880,2011,34,0,0,0,0
350890,2011,5,0,0,0,0
350900,2011,159,2,0,0,0
350910,2011,2,0,0,0,0
350920,2011,91,10,0,0,0
350925,2011,323,0,0,0,2
350930,2011,297,0,0,0,0
350940,2011,98,0,0,0,1
350950,2011,11082,533,29,8,17
350960,2011,14,14,0,0,0
350970,2011,10,0,1,0,0
350980,2011,17,0,0,0,0
351000,2011,273,12,0,0,0
351010,2011,30,0,0,0,0
351015,2011,1,0,0,0,0
351020,2011,50,1,0,0,0
351030,2011,9,0,0,0,0
351040,2011,74,5,0,0,1
351050,2011,2289,6,0,0,0
351060,2011,281,20,0,0,0
351070,2011,117,0,0,0,0
351080,2011,59,0,0,0,0
351090,2011,4,0,0,0,0
351100,2011,196,0,0,1,0
351110,2011,909,30,0,3,1
351120,2011,51,0,0,0,0
351130,2011,139,4,0,0,0
351140,2011,55,0,0,0,0
351150,2011,16,0,0,0,0
351160,2011,2,0,0,0,0
351170,2011,29,1,0,0,0
351190,2011,27,1,0,0,0
351200,2011,58,0,0,0,0
351210,2011,11,0,0,0,0
351220,2011,68,2,0,0,1
351230,2011,28,0,0,0,0
351240,2011,192,6,0,0,0
351250,2011,24,0,0,0,0
351270,2011,2,0,0,0,0
351280,2011,513,1,0,0,1
351290,2011,21,0,0,0,0
351300,2011,422,13,1,0,0
351310,2011,346,0,0,0,0
351320,2011,16,0,0,0,0
351330,2011,0,0,0,0,0
351340,2011,1040,11,0,1,0
351350,2011,321,32,1,0,0
351360,2011,5,1,0,0,0
351370,2011,77,0,0,0,0
351380,2011,754,49,1,1,1
351385,2011,5,0,0,0,0
351390,2011,11,1,0,0,1
351400,2011,22,0,0,0,0
351410,2011,16,1,0,0,0
351420,2011,0,0,0,0,0
351430,2011,5,0,0,0,0
351440,2011,282,2,0,15,1
351450,2011,23,0,0,0,0
351460,2011,221,0,0,0,0
351470,2011,3,0,0,0,0
351480,2011,23,3,0,0,4
351490,2011,15,0,0,0,1
351492,2011,9,0,0,0,0
351495,2011,6,0,0,0,0
351500,2011,336,10,0,0,0
351510,2011,13,11,0,0,0
351515,2011,72,1,0,0,1
351518,2011,51,4,0,0,0
351519,2011,15,0,0,0,0
351520,2011,133,1,0,0,0
351530,2011,1,0,0,0,0
351535,2011,57,0,0,0,0
351540,2011,19,0,0,0,0
351550,2011,388,7,3,3,1
351560,2011,8,0,0,0,0
351570,2011,67,64,0,0,0
351580,2011,1,0,0,0,0
351590,2011,31,0,0,0,0
351600,2011,33,0,0,2,0
351610,2011,5,0,0,0,0
351620,2011,1923,28,0,1,0
351630,2011,492,9,0,0,0
351640,2011,85,9,0,0,0
351650,2011,4,0,0,0,0
351660,2011,2,0,0,0,0
351670,2011,188,0,0,0,0
351680,2011,10,0,0,0,0
351685,2011,52,0,0,0,0
351690,2011,23,0,0,0,0
351700,2011,19,0,0,0,0
351710,2011,19,0,0,0,0
351720,2011,65,0,0,0,0
351730,2011,21,0,0,0,0
351740,2011,347,0,0,1,0
351750,2011,44,2,0,0,0
351760,2011,11,0,0,0,0
351770,2011,272,0,0,0,0
351780,2011,116,0,0,0,0
351790,2011,133,0,0,0,0
351800,2011,5,0,0,0,0
351810,2011,16,0,0,0,0
351820,2011,78,0,0,1,0
351830,2011,40,41,0,2,0
351840,2011,906,12,0,0,1
351850,2011,4,0,0,0,0
351860,2011,118,0,0,0,0
351870,2011,101,32,2,0,0
351880,2011,1931,233,3,0,0
351885,2011,6,0,0,0,0
351890,2011,2,0,1,0,0
351900,2011,16,0,0,0,0
351905,2011,37,1,0,0,0
351907,2011,2702,38,0,0,1
351910,2011,23,0,0,0,0
351920,2011,9,0,0,0,0
351925,2011,4,0,0,0,0
351930,2011,144,0,0,0,0
351940,2011,22,0,0,0,0
351950,2011,29,1,0,0,0
351960,2011,479,0,0,0,0
351970,2011,17,4,0,1,1
351980,2011,74,0,0,0,0
