variable,type,label,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,delta_aic,aic_weight,outcome,outcome_label,predictor_dimension
UAI_Crisk,specific,UAI Riesgo Clim.,5135.521264031489,5153.398265298672,5135.583764031489,-2563.7606320157447,0.3037166184994015,2.32924128283506,0.8962555520835851,0.2514892222754057,0.5467793789329266,645,True,0.916763253388126,0.13453580559295042,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
idx_gobernanza_100,composite,Gobernanza (idx),5135.5345544844,5153.411555751583,5135.5970544844,-2563.7672772422,-0.0016992144690265198,0.027896470248082797,0.9514297301319586,0.25157588062477393,0.5462971299401479,645,True,0.930053706299077,0.13364474861513218,incidence_mean_leishmaniose,Leishmaniasis,Gobernanza
hydric_stress_risk,specific,Estrés Hídrico,5118.22004966938,5136.097050936563,5118.28254966938,-2555.11002483469,-16.46159671233181,3.9406485404070857,2.9488275566358197e-05,0.2694705257793503,0.5416492926776649,645,True,0.0,0.9988137942262202,incidence_mean_leishmaniose,Leishmaniasis,Riesgo Climático
idx_clima,composite,Clima (idx),5132.473564226344,5150.350565493527,5132.536064226344,-2562.236782113172,-0.07141087047586084,0.04074949178188575,0.07969889063018633,0.25483312887467047,0.5449174849229719,645,True,14.253514556963637,0.0008023672089587674,incidence_mean_leishmaniose,Leishmaniasis,Riesgo Climático
flooding_risks,specific,Riesgo Inundación,5135.314204059079,5153.191205326262,5135.376704059079,-2563.6571020295396,1.2155647092966273,2.567780309320058,0.6359340771591965,0.25168079769559504,0.5468230847202563,645,True,17.094154389698815,0.0001938813653591426,incidence_mean_leishmaniose,Leishmaniasis,Riesgo Climático
fire_risk_index,specific,Riesgo Fuego (idx),5135.355099403976,5153.232100671159,5135.417599403976,-2563.677549701988,-0.019103621746305283,0.04463388040457863,0.6686458854521186,0.25179691043439045,0.546068760099132,645,True,17.13504973459567,0.00018995719946179364,incidence_mean_leishmaniose,Leishmaniasis,Riesgo Climático
forest_cover,specific,Cobertura Forestal,5124.74899151229,5142.625992779473,5124.81149151229,-2558.374495756145,0.1607971351729019,0.04949566833133241,0.0011592908699183595,0.2582343697584075,0.5631423594203769,645,True,0.0,0.975118532693468,incidence_mean_leishmaniose,Leishmaniasis,Biodiversidad
idx_biodiv,composite,Biodiv (idx),5134.063802898305,5151.940804165488,5134.126302898305,-2563.0319014491524,-0.06488200490965003,0.05315758424393753,0.2222527739153266,0.2550433057274463,0.5361514272996202,645,True,9.314811386015208,0.00925490186576459,incidence_mean_leishmaniose,Leishmaniasis,Biodiversidad
mean_species_richness,specific,Riqueza Spp,5134.063802898305,5151.940804165488,5134.126302898305,-2563.0319014491524,-0.012850261632115733,0.010528171350701212,0.22225277391532838,0.2550433057274463,0.5361514272996202,645,True,9.314811386015208,0.00925490186576459,incidence_mean_leishmaniose,Leishmaniasis,Biodiversidad
pol_deficit,specific,Déf. Polinización,5134.810388396974,5152.687389664157,5134.872888396974,-2563.405194198487,-3.2358763293355,3.7954885801916864,0.3939041440022172,0.25167778077591085,0.5491743214160666,645,True,10.061396884684655,0.006371663575002717,incidence_mean_leishmaniose,Leishmaniasis,Biodiversidad
